3199FC6A-C34A-472D-BE5C-CA5D2B277239,03_16_09_TM_minimal_medium_glc
AC555A21-3DC1-43F5-BB77-3C4F45807730,12_14_07_Pp
46B3F7A9-1EE0-4F17-985A-4441CA277E57,Acinetobacter_baumannii_AYE
8D9EE56E-7504-4E67-8B4D-E0BFCECEE1EF,ArabidopsisCompartmentalizedModel
5A550F91-6126-4183-AA4D-0619BD5DA713,C4GEM_v2
82C6706E-EDF4-4391-B704-0B508C483C7F,bcj
CA55B62A-67BF-400E-B177-449081CEB326,bigg_iAF987
1402851A-2696-43B4-B114-9D0E3F68B71A,bigg_iIJ478
E0BCFD5C-289E-4679-B13F-D4AF8EEC70C7,bigg_iJN678
F4985769-C6FC-4E36-9446-00435875DA9D,bigg_iJN746
50469440-D63B-4DC5-954D-21944D1F6BBA,bigg_iJR904
5E180477-8897-4D5A-B2EA-9C75CFA31821,bigg_iMM904
30DDA7E9-5F3E-406B-946B-660C666634F9,bigg_iND750
26EAC361-84FC-40C9-9AAC-AFE7561F6606,bigg_iNJ661
037E6673-E086-404B-9E88-D289096A8BF6,bigg_iPC815
7F9012FB-FF7F-4242-A056-459E7A870433,bigg_iSB619
F310C92D-C073-4512-A92F-E6988F31D417,bigg_iSDY_1059
B661ED73-E8EA-46A8-B6C0-2ACB8516B950,bigg_iYL1228
C9EC1B3F-CF32-469C-BDAE-870769F4B6E4,C__beijerinckii__iCM926
9E8DB343-1AF6-4FFF-85C3-DF5494FA1646,Chlamy_Recon_0_95_unconstrained041409
DA87E01F-9E8C-4BA2-BE62-3D9ACD921256,Ec_iAF1260
81B5D632-AAE0-4424-A1CF-311FCA5C3209,ehmn
08D2BF7F-4900-492C-BCC5-FD6EAF2D51BC,EryNet
C93AE196-4923-4879-BF5E-DB90FA94C528,human_recon1
BBD9DBA1-EA10-40B8-9DF7-69E5D08F9B36,HyunUkKim2010_VvuMBEL943_MetabolicModeling
73F5FB34-37C6-44E4-A397-9FA0A8307342,A. baylyi
6584F700-6930-407B-8F03-61EE73F75F07,iAC560_def_med
91D4BAE6-12B5-4F8C-B7D8-76FBE6E31A30,iAF692 network flux distributions for BOF optimization on methanol
95F3952D-486A-4D07-9620-EE18042AD3C6,iAI549
CF412596-9582-44BE-8661-0AE9079B014C,Penicillium chrysogenum genome-scale model
37B9BB05-E659-44E8-BBC8-D89D7BBE3889,iAM303
B7835087-36DB-4AB6-868F-DF866187C025,iBsu1103
D85B15F8-D25D-4135-A56D-2CE3E054956F,S. cerevisiae genome-scale model
14AF05EC-6BEE-4D64-BCD9-28DC44D1152E,Aspergillus Nidulans genome-scale model
B11EFE27-9108-4E99-B39F-6FEC26B842CA,Streptomyces coelicolor genome-scale model
48C3518D-DAD4-4AE1-AF23-EE09FD94EF7A,iIN800
6F945D3C-042F-47A3-8CDE-15321F196190,iJO1366
0EAC2636-70A3-431A-8712-25C981D3EEE8,Pichia pastoris
5A8A7105-4E7E-4794-8D36-EADD75A5FC27,A. balhimycina genome-scale model
AD641E1F-FF01-4973-A073-5928200270C8,A. niger genome-scale model
B0A1FB5B-4707-40B1-B5D2-85C935AC34C5,Bacillus megaterium genome scale-model
A02D5D81-490B-44CE-A6DA-F684B5D81C61,iPS189
5883B2A3-7687-4479-A74E-100688371AD6,iRC1080
31CE91E3-9AA0-49FF-B5A2-7C501409A8CF,iRS1563
5B7CD2B9-EE2F-43FC-841C-56EE5E2C2882,Rhodobacter_sphaeroides_metabolic_model_iRsp1095
7E7F7E88-A31F-4A90-B9EB-51BE9112E83D,P. fluorescens SBW25 genome-scale model
02EFF9E2-8AC0-4D69-8FFC-62B596007918,Pichia stipitis
FD5FAA0A-3394-4C29-899F-33E09C1F7A3F,iVS941
6B61423E-A55D-4875-83D9-D7B5F7EAEC66,A. oryzae genome-scale model
1F1BC512-9119-4BE0-82C7-7A3140D31667,Klebsiella pneumoniae MGH78578_iYL1228
05D5984F-C410-415B-8290-C49E4D7E73D3,Lactococcus lactis genome-scale model
66CDB73D-7F1D-4CA4-893A-03DABC74D2E9,macrophage
2EFAEF18-AE63-4F7F-AEDB-60780F9C51D6,maranas_iSyn731_0618
